label,x,y,value
dala_lite_same_context_v1,0.0,0.01,0.01
trigger_early_exit_v1,1.0,0.016667,0.016667
trigger_voc_v2,2.0,0.01,0.01
sparc_v1_smoke,3.0,0.02,0.02
dala_lite_split_context_v1,4.0,0.03,0.03
hotpotqa_split_main,5.0,0.0,0.0
free_mad_lite_v1,6.0,0.016666,0.016666
multi_agent_main,7.0,0.0,0.0
aggregation_auditing_ablation_v1,8.0,0.02,0.02
auditing_ablation_v1,9.0,0.02,0.02
cue_v1,10.0,0.018,0.018
sid_lite_v1,11.0,0.003333,0.003333
robustness,12.0,0.0,0.0
content_ablation_v1,13.0,0.016667,0.016667
